district,date,temp_moy,temp_max,humidite,precip_mensuel,cas
Bogo,2024-02-01,27.65,43.43,16.68,0.0,926.0
Bogo,2024-03-01,33.45,45.77,12.49,0.0,936.0
Bogo,2024-04-01,35.57,45.71,18.47,3.9,757.0
Bogo,2024-05-01,36.38,46.06,28.1,7.75,730.0
Bogo,2024-06-01,31.06,42.42,56.99,114.3,692.0
Bogo,2024-07-01,27.55,37.39,73.62,210.49,1183.0
Bogo,2024-08-01,25.33,31.25,85.09,280.24,1972.0
Bogo,2024-09-01,26.35,32.45,80.72,109.2,1694.0
Bogo,2024-10-01,26.63,35.34,71.63,60.14,2553.0
Bogo,2024-11-01,24.64,36.97,42.02,0.0,2174.0
Bogo,2024-12-01,23.95,36.95,29.44,0.0,2011.0
Bogo,2025-01-01,25.45,39.13,21.53,0.0,1423.0
Bogo,2025-02-01,28.48,41.5,16.24,0.0,877.0
Bogo,2025-03-01,31.89,43.56,12.41,0.0,868.0
Bogo,2025-04-01,34.05,44.97,18.04,6.3,821.0
Bogo,2025-05-01,35.39,44.58,25.96,4.03,876.0
Bogo,2025-06-01,32.34,42.69,47.48,67.8,881.0
Bogo,2025-07-01,27.6,37.36,70.83,231.88,1214.0
Bogo,2025-08-01,26.08,33.06,78.47,208.63,1671.0
Bogo,2025-09-01,26.55,33.33,79.15,107.7,1880.0
Bogo,2025-10-01,27.52,37.51,61.38,14.26,2643.0
Bogo,2025-11-01,27.85,39.48,30.4,0.0,1472.0
Bogo,2025-12-01,27.19,38.91,22.62,0.0,1442.0
Bourha,2017-01-01,27.78,39.63,16.86,0.0,528.0
Bourha,2017-02-01,27.64,39.11,11.1,0.0,342.0
Bourha,2017-03-01,31.33,42.22,11.61,0.0,673.0
Bourha,2017-04-01,32.22,42.19,38.08,36.3,316.0
Bourha,2017-05-01,28.46,38.95,65.99,140.12,362.0
Bourha,2017-06-01,26.88,37.43,73.32,107.4,446.0
Bourha,2017-07-01,24.78,30.89,84.76,259.47,641.0
Bourha,2017-08-01,24.25,29.81,86.75,190.34,800.0
Bourha,2017-09-01,24.83,30.97,83.65,162.3,1073.0
Bourha,2017-10-01,26.11,34.73,65.83,33.48,1492.0
Bourha,2017-11-01,26.83,37.76,35.74,0.0,1103.0
Bourha,2017-12-01,26.76,37.24,20.87,0.0,880.0
Bourha,2018-01-01,23.97,35.48,12.53,0.0,492.0
Bourha,2018-02-01,29.76,40.89,16.86,7.28,675.0
Bourha,2018-03-01,31.54,42.45,14.77,0.31,416.0
